Equipo,Nombre,IRJ General,Edad,Posicion
Belén Fútbol Club,Sebastián González Muñoz,11,20,Volante
Asociación Deportiva Carmelita,Jorge Gutiérrez Solano,11,20,Volante
Club de Fútbol UCR,Esteban Arias Arauz,11,22,Delantero
Liga Deportiva Alajuelense,Esteban Marín Murillo,10,20,Defensa
Club Sport Cartaginés,Marco Madrigal Villalobos,10,31,Portero
Municipal Pérez Zeledón,Bryan Espinoza Ramírez,10,22,Defensa
Municipal Pérez Zeledón,Din Arias Álvarez,10,24,Volante
Municipal Pérez Zeledón,Marco Barrantes Blanco,10,21,Volante
Limón Fútbol Club,Jairo Monge Ruiz,10,24,Portero
,,,,
,,,,
Asociación Deportiva Carmelita,Pedro Leal Valencia,10,28,Defensa
,,,,
Municipal Liberia,Carlos Hernández Espinoza,10,27,Volante
,,,,
Club Sport Cartaginés,Michael Barrantes Rojas,9,33,Volante
Municipal Pérez Zeledón,Pablo Herrera Barrantes,9,29,Defensa
Asociacion Deportiva Santos,Michael Barquero Abarca,9,26,Defensa
Asociación Deportiva San Carlos,Pablo Solano Lazo,9,23,Defensa
,,,,
Municipal Liberia,Jossimar Pemberton Segura,9,23,Delantero
,,,,
,,,,
,,,,
Liga Deportiva Alajuelense,Anthony López Muñoz,8,21,Volante
Club Sport Herediano,Leonel Moreira Ledezma,8,26,Portero
Club Sport Herediano,Wilson Villalobos Mendoza,8,18,Volante
Asociación Deportiva San Carlos,Fernando Brenes Arrieta,8,22,Defensa
Belén Fútbol Club,Víctor González García,8,19,Volante
Limón Fútbol Club,Joseph Centeno Rowe,8,29,Defensa
Club de Fútbol UCR,Eduardo Gómez Campos,8,32,Defensa
Municipal Liberia,Alonso Arias Matarrita,8,25,Defensa
Deportivo Saprissa,Jorman Sánchez Tensio,7,18,Volante
Club Sport Herediano,Fabrizio Ramírez Montero,7,19,Volante
Club Sport Cartaginés,Kevin Pereira Calderón,7,20,Defensa
Municipal Pérez Zeledón,Andrés Lezcano Montero,7,26,Delantero
,,,,
Belén Fútbol Club,Brandon Bonilla Zarate,7,20,Defensa
Asociación Deportiva Carmelita,Ariel Contreras Rodríguez,7,25,Defensa
Deportivo Saprissa,Rolando Blackburn Ortega,6,27,Delantero
Liga Deportiva Alajuelense,Jossimar Pemberton Segura,6,23,Delantero
